iter,time,est_name,n_fe,dgp_name,n_obs
1,0.011490106582641602,FixedEffectModels.reg,2,difficult,100000
1,0.13324999809265137,FixedEffectModels.reg,3,difficult,100000
2,0.010557174682617188,FixedEffectModels.reg,2,difficult,100000
2,0.1493690013885498,FixedEffectModels.reg,3,difficult,100000
3,0.009195804595947266,FixedEffectModels.reg,2,difficult,100000
3,0.14825201034545898,FixedEffectModels.reg,3,difficult,100000
1,0.004352092742919922,FixedEffectModels.reg,2,difficult,10000
1,0.014610052108764648,FixedEffectModels.reg,3,difficult,10000
2,0.001744985580444336,FixedEffectModels.reg,2,difficult,10000
2,0.014564990997314453,FixedEffectModels.reg,3,difficult,10000
3,0.002991914749145508,FixedEffectModels.reg,2,difficult,10000
3,0.016916990280151367,FixedEffectModels.reg,3,difficult,10000
1,0.002544879913330078,FixedEffectModels.reg,2,difficult,1000
1,0.0066030025482177734,FixedEffectModels.reg,3,difficult,1000
2,0.002485990524291992,FixedEffectModels.reg,2,difficult,1000
2,0.006075143814086914,FixedEffectModels.reg,3,difficult,1000
3,0.004351139068603516,FixedEffectModels.reg,2,difficult,1000
3,0.0067138671875,FixedEffectModels.reg,3,difficult,1000
1,0.07741689682006836,FixedEffectModels.reg,2,difficult,1000000
1,2.9268691539764404,FixedEffectModels.reg,3,difficult,1000000
2,0.08791399002075195,FixedEffectModels.reg,2,difficult,1000000
2,3.0399248600006104,FixedEffectModels.reg,3,difficult,1000000
3,0.1456279754638672,FixedEffectModels.reg,2,difficult,1000000
3,3.0147180557250977,FixedEffectModels.reg,3,difficult,1000000
1,0.23506808280944824,FixedEffectModels.reg,2,difficult,2000000
1,5.293998956680298,FixedEffectModels.reg,3,difficult,2000000
2,0.24190902709960938,FixedEffectModels.reg,2,difficult,2000000
2,5.339268922805786,FixedEffectModels.reg,3,difficult,2000000
3,0.2433300018310547,FixedEffectModels.reg,2,difficult,2000000
3,5.988070964813232,FixedEffectModels.reg,3,difficult,2000000
1,0.0404660701751709,FixedEffectModels.reg,2,difficult,500000
1,1.328428030014038,FixedEffectModels.reg,3,difficult,500000
2,0.03867602348327637,FixedEffectModels.reg,2,difficult,500000
2,1.627626895904541,FixedEffectModels.reg,3,difficult,500000
3,0.11071491241455078,FixedEffectModels.reg,2,difficult,500000
3,1.8346481323242188,FixedEffectModels.reg,3,difficult,500000
1,0.01252603530883789,FixedEffectModels.reg,2,simple,100000
1,0.02005791664123535,FixedEffectModels.reg,3,simple,100000
2,0.009188175201416016,FixedEffectModels.reg,2,simple,100000
2,0.0299069881439209,FixedEffectModels.reg,3,simple,100000
3,0.013283967971801758,FixedEffectModels.reg,2,simple,100000
3,0.03461194038391113,FixedEffectModels.reg,3,simple,100000
1,0.0044171810150146484,FixedEffectModels.reg,2,simple,10000
1,0.008941173553466797,FixedEffectModels.reg,3,simple,10000
2,0.004261016845703125,FixedEffectModels.reg,2,simple,10000
2,0.012204885482788086,FixedEffectModels.reg,3,simple,10000
3,0.0029709339141845703,FixedEffectModels.reg,2,simple,10000
3,0.016196012496948242,FixedEffectModels.reg,3,simple,10000
1,0.002537965774536133,FixedEffectModels.reg,2,simple,1000
1,0.00500798225402832,FixedEffectModels.reg,3,simple,1000
2,0.0024099349975585938,FixedEffectModels.reg,2,simple,1000
2,0.005151987075805664,FixedEffectModels.reg,3,simple,1000
3,0.00131988525390625,FixedEffectModels.reg,2,simple,1000
3,0.0057561397552490234,FixedEffectModels.reg,3,simple,1000
1,0.0758368968963623,FixedEffectModels.reg,2,simple,1000000
1,0.17557811737060547,FixedEffectModels.reg,3,simple,1000000
2,0.07806897163391113,FixedEffectModels.reg,2,simple,1000000
2,0.16862106323242188,FixedEffectModels.reg,3,simple,1000000
3,0.07417893409729004,FixedEffectModels.reg,2,simple,1000000
3,0.17027902603149414,FixedEffectModels.reg,3,simple,1000000
1,0.18193697929382324,FixedEffectModels.reg,2,simple,2000000
1,0.4310941696166992,FixedEffectModels.reg,3,simple,2000000
2,0.22730493545532227,FixedEffectModels.reg,2,simple,2000000
2,0.3779871463775635,FixedEffectModels.reg,3,simple,2000000
3,0.16865801811218262,FixedEffectModels.reg,2,simple,2000000
3,0.43553996086120605,FixedEffectModels.reg,3,simple,2000000
1,0.041563987731933594,FixedEffectModels.reg,2,simple,500000
1,0.08948612213134766,FixedEffectModels.reg,3,simple,500000
2,0.1180269718170166,FixedEffectModels.reg,2,simple,500000
2,0.0882570743560791,FixedEffectModels.reg,3,simple,500000
3,0.03733491897583008,FixedEffectModels.reg,2,simple,500000
3,0.09156608581542969,FixedEffectModels.reg,3,simple,500000
