iter,time,est_name,n_fe,dgp_name,n_obs
1,0.1622788906097412,GLFixedEffectModels Poisson,2,difficult,100000
1,3.0329649448394775,GLFixedEffectModels Poisson,3,difficult,100000
2,0.22194290161132812,GLFixedEffectModels Poisson,2,difficult,100000
2,3.1865289211273193,GLFixedEffectModels Poisson,3,difficult,100000
3,0.2125248908996582,GLFixedEffectModels Poisson,2,difficult,100000
3,2.534928798675537,GLFixedEffectModels Poisson,3,difficult,100000
1,0.028367042541503906,GLFixedEffectModels Poisson,2,difficult,10000
1,0.0976719856262207,GLFixedEffectModels Poisson,3,difficult,10000
2,0.024927854537963867,GLFixedEffectModels Poisson,2,difficult,10000
2,0.15541386604309082,GLFixedEffectModels Poisson,3,difficult,10000
3,0.0231781005859375,GLFixedEffectModels Poisson,2,difficult,10000
3,0.08999109268188477,GLFixedEffectModels Poisson,3,difficult,10000
1,0.011252880096435547,GLFixedEffectModels Poisson,2,difficult,1000
1,0.021142959594726562,GLFixedEffectModels Poisson,3,difficult,1000
2,0.0212709903717041,GLFixedEffectModels Poisson,2,difficult,1000
2,0.0303800106048584,GLFixedEffectModels Poisson,3,difficult,1000
3,0.01797199249267578,GLFixedEffectModels Poisson,2,difficult,1000
3,0.02609705924987793,GLFixedEffectModels Poisson,3,difficult,1000
1,2.0432300567626953,GLFixedEffectModels Poisson,2,difficult,1000000
1,,GLFixedEffectModels Poisson,3,difficult,1000000
2,2.0170109272003174,GLFixedEffectModels Poisson,2,difficult,1000000
2,,GLFixedEffectModels Poisson,3,difficult,1000000
3,1.8850669860839844,GLFixedEffectModels Poisson,2,difficult,1000000
3,,GLFixedEffectModels Poisson,3,difficult,1000000
1,4.5612568855285645,GLFixedEffectModels Poisson,2,difficult,2000000
1,,GLFixedEffectModels Poisson,3,difficult,2000000
2,4.528779983520508,GLFixedEffectModels Poisson,2,difficult,2000000
2,,GLFixedEffectModels Poisson,3,difficult,2000000
3,4.029733896255493,GLFixedEffectModels Poisson,2,difficult,2000000
3,,GLFixedEffectModels Poisson,3,difficult,2000000
1,1.1333189010620117,GLFixedEffectModels Poisson,2,difficult,500000
1,47.45019507408142,GLFixedEffectModels Poisson,3,difficult,500000
2,1.149888038635254,GLFixedEffectModels Poisson,2,difficult,500000
2,41.081153869628906,GLFixedEffectModels Poisson,3,difficult,500000
3,1.0225498676300049,GLFixedEffectModels Poisson,2,difficult,500000
3,48.353971004486084,GLFixedEffectModels Poisson,3,difficult,500000
1,0.248032808303833,GLFixedEffectModels Poisson,2,simple,100000
1,0.5816318988800049,GLFixedEffectModels Poisson,3,simple,100000
2,0.24210786819458008,GLFixedEffectModels Poisson,2,simple,100000
2,0.6008439064025879,GLFixedEffectModels Poisson,3,simple,100000
3,0.17276906967163086,GLFixedEffectModels Poisson,2,simple,100000
3,0.548159122467041,GLFixedEffectModels Poisson,3,simple,100000
1,0.02399897575378418,GLFixedEffectModels Poisson,2,simple,10000
1,0.03978085517883301,GLFixedEffectModels Poisson,3,simple,10000
2,0.02285909652709961,GLFixedEffectModels Poisson,2,simple,10000
2,0.04836392402648926,GLFixedEffectModels Poisson,3,simple,10000
3,0.026314973831176758,GLFixedEffectModels Poisson,2,simple,10000
3,0.0452570915222168,GLFixedEffectModels Poisson,3,simple,10000
1,0.013127803802490234,GLFixedEffectModels Poisson,2,simple,1000
1,0.014377832412719727,GLFixedEffectModels Poisson,3,simple,1000
2,0.007691144943237305,GLFixedEffectModels Poisson,2,simple,1000
2,0.011279106140136719,GLFixedEffectModels Poisson,3,simple,1000
3,0.007100105285644531,GLFixedEffectModels Poisson,2,simple,1000
3,0.010699033737182617,GLFixedEffectModels Poisson,3,simple,1000
1,2.217268943786621,GLFixedEffectModels Poisson,2,simple,1000000
1,8.104921102523804,GLFixedEffectModels Poisson,3,simple,1000000
2,2.261276960372925,GLFixedEffectModels Poisson,2,simple,1000000
2,10.269991874694824,GLFixedEffectModels Poisson,3,simple,1000000
3,1.8144261837005615,GLFixedEffectModels Poisson,2,simple,1000000
3,6.0778210163116455,GLFixedEffectModels Poisson,3,simple,1000000
1,4.03498101234436,GLFixedEffectModels Poisson,2,simple,2000000
1,13.363848209381104,GLFixedEffectModels Poisson,3,simple,2000000
2,4.245573043823242,GLFixedEffectModels Poisson,2,simple,2000000
2,13.608422994613647,GLFixedEffectModels Poisson,3,simple,2000000
3,4.011551856994629,GLFixedEffectModels Poisson,2,simple,2000000
3,15.468952178955078,GLFixedEffectModels Poisson,3,simple,2000000
1,0.9264249801635742,GLFixedEffectModels Poisson,2,simple,500000
1,2.6257500648498535,GLFixedEffectModels Poisson,3,simple,500000
2,0.9153578281402588,GLFixedEffectModels Poisson,2,simple,500000
2,3.581650972366333,GLFixedEffectModels Poisson,3,simple,500000
3,1.0739319324493408,GLFixedEffectModels Poisson,2,simple,500000
3,3.9488749504089355,GLFixedEffectModels Poisson,3,simple,500000
