iter,time,est_name,n_fe,dgp_name,n_obs,language
1,0.00254487991333008,FixedEffectModels.reg,2,difficult,1000,julia
2,0.00248599052429199,FixedEffectModels.reg,2,difficult,1000,julia
3,0.00435113906860352,FixedEffectModels.reg,2,difficult,1000,julia
1,0.00660300254821777,FixedEffectModels.reg,3,difficult,1000,julia
2,0.00607514381408691,FixedEffectModels.reg,3,difficult,1000,julia
3,0.0067138671875,FixedEffectModels.reg,3,difficult,1000,julia
1,0.0064690113067627,fixest::feols,2,difficult,1000,r
2,0.00616884231567383,fixest::feols,2,difficult,1000,r
3,0.00852203369140625,fixest::feols,2,difficult,1000,r
1,0.00595808029174805,fixest::feols,3,difficult,1000,r
2,0.00799798965454102,fixest::feols,3,difficult,1000,r
3,0.00876808166503906,fixest::feols,3,difficult,1000,r
1,0.0643100738525391,lfe::felm,2,difficult,1000,r
2,0.064795970916748,lfe::felm,2,difficult,1000,r
3,0.0658550262451172,lfe::felm,2,difficult,1000,r
1,0.0649318695068359,lfe::felm,3,difficult,1000,r
2,0.0659148693084717,lfe::felm,3,difficult,1000,r
3,0.0675840377807617,lfe::felm,3,difficult,1000,r
1,0.00850324999919394,linearmodels.AbsorbingLS,2,difficult,1000,python
2,0.0091649169989978,linearmodels.AbsorbingLS,2,difficult,1000,python
3,0.0084518340008799,linearmodels.AbsorbingLS,2,difficult,1000,python
1,0.00892216699867277,linearmodels.AbsorbingLS,3,difficult,1000,python
2,0.00896179199844482,linearmodels.AbsorbingLS,3,difficult,1000,python
3,0.00962004199755029,linearmodels.AbsorbingLS,3,difficult,1000,python
1,0.00322920799953863,pyfixest.feols (numba),2,difficult,1000,python
2,0.00320550000105868,pyfixest.feols (numba),2,difficult,1000,python
3,0.00329575000068871,pyfixest.feols (numba),2,difficult,1000,python
1,2.07374041600269,pyfixest.feols (numba),3,difficult,1000,python
2,2.07389995800258,pyfixest.feols (numba),3,difficult,1000,python
3,2.05816329200024,pyfixest.feols (numba),3,difficult,1000,python
1,0.00559220799914328,pyfixest.feols (rust),2,difficult,1000,python
2,0.00498629200228606,pyfixest.feols (rust),2,difficult,1000,python
3,0.00443308399917441,pyfixest.feols (rust),2,difficult,1000,python
1,0.661791457998334,pyfixest.feols (rust),3,difficult,1000,python
2,0.666991165999207,pyfixest.feols (rust),3,difficult,1000,python
3,0.658251708002354,pyfixest.feols (rust),3,difficult,1000,python
1,0.00966412500201841,statsmodels.OLS,2,difficult,1000,python
2,0.00924154099993757,statsmodels.OLS,2,difficult,1000,python
3,0.00968483399992692,statsmodels.OLS,2,difficult,1000,python
1,0.0105651660014701,statsmodels.OLS,3,difficult,1000,python
2,0.0107817919997615,statsmodels.OLS,3,difficult,1000,python
3,0.0109527499989781,statsmodels.OLS,3,difficult,1000,python
1,0.00253796577453613,FixedEffectModels.reg,2,simple,1000,julia
2,0.00240993499755859,FixedEffectModels.reg,2,simple,1000,julia
3,0.00131988525390625,FixedEffectModels.reg,2,simple,1000,julia
1,0.00500798225402832,FixedEffectModels.reg,3,simple,1000,julia
2,0.00515198707580566,FixedEffectModels.reg,3,simple,1000,julia
3,0.00575613975524902,FixedEffectModels.reg,3,simple,1000,julia
1,0.00815081596374512,fixest::feols,2,simple,1000,r
2,0.00757288932800293,fixest::feols,2,simple,1000,r
3,0.00860309600830078,fixest::feols,2,simple,1000,r
1,0.00911903381347656,fixest::feols,3,simple,1000,r
2,0.00902414321899414,fixest::feols,3,simple,1000,r
3,0.00886702537536621,fixest::feols,3,simple,1000,r
1,0.0653488636016846,lfe::felm,2,simple,1000,r
2,0.0651898384094238,lfe::felm,2,simple,1000,r
3,0.0659339427947998,lfe::felm,2,simple,1000,r
1,0.0673120021820068,lfe::felm,3,simple,1000,r
2,0.0665240287780762,lfe::felm,3,simple,1000,r
3,0.0672891139984131,lfe::felm,3,simple,1000,r
1,0.00615249999827938,linearmodels.AbsorbingLS,2,simple,1000,python
2,0.0059545829972194,linearmodels.AbsorbingLS,2,simple,1000,python
3,0.00614662500083796,linearmodels.AbsorbingLS,2,simple,1000,python
1,0.00707870900077978,linearmodels.AbsorbingLS,3,simple,1000,python
2,0.00726075000056881,linearmodels.AbsorbingLS,3,simple,1000,python
3,0.00697133300127462,linearmodels.AbsorbingLS,3,simple,1000,python
1,0.00291083299816819,pyfixest.feols (numba),2,simple,1000,python
2,0.00244920900149737,pyfixest.feols (numba),2,simple,1000,python
3,0.00222854200183065,pyfixest.feols (numba),2,simple,1000,python
1,0.00258158300130162,pyfixest.feols (numba),3,simple,1000,python
2,0.00294445799954701,pyfixest.feols (numba),3,simple,1000,python
3,0.00270491600167588,pyfixest.feols (numba),3,simple,1000,python
1,0.00387445800151909,pyfixest.feols (rust),2,simple,1000,python
2,0.00350491700010025,pyfixest.feols (rust),2,simple,1000,python
3,0.00359266700252192,pyfixest.feols (rust),2,simple,1000,python
1,0.00477195799976471,pyfixest.feols (rust),3,simple,1000,python
2,0.00503241600017645,pyfixest.feols (rust),3,simple,1000,python
3,0.00557537500208127,pyfixest.feols (rust),3,simple,1000,python
1,0.00804420799977379,statsmodels.OLS,2,simple,1000,python
2,0.00814304199957405,statsmodels.OLS,2,simple,1000,python
3,0.00821400000131689,statsmodels.OLS,2,simple,1000,python
1,0.00928654200106394,statsmodels.OLS,3,simple,1000,python
2,0.00932962499791756,statsmodels.OLS,3,simple,1000,python
3,0.009236999998393,statsmodels.OLS,3,simple,1000,python
1,0.00435209274291992,FixedEffectModels.reg,2,difficult,10000,julia
2,0.00174498558044434,FixedEffectModels.reg,2,difficult,10000,julia
3,0.00299191474914551,FixedEffectModels.reg,2,difficult,10000,julia
1,0.0146100521087646,FixedEffectModels.reg,3,difficult,10000,julia
2,0.0145649909973145,FixedEffectModels.reg,3,difficult,10000,julia
3,0.0169169902801514,FixedEffectModels.reg,3,difficult,10000,julia
1,0.00482702255249023,fixest::feols,2,difficult,10000,r
2,0.00574183464050293,fixest::feols,2,difficult,10000,r
3,0.00595998764038086,fixest::feols,2,difficult,10000,r
1,0.0100312232971191,fixest::feols,3,difficult,10000,r
2,0.0107438564300537,fixest::feols,3,difficult,10000,r
3,0.010822057723999,fixest::feols,3,difficult,10000,r
1,0.0715041160583496,lfe::felm,2,difficult,10000,r
2,0.0668518543243408,lfe::felm,2,difficult,10000,r
3,0.0665631294250488,lfe::felm,2,difficult,10000,r
1,0.0661261081695557,lfe::felm,3,difficult,10000,r
2,0.0672650337219238,lfe::felm,3,difficult,10000,r
3,0.0674190521240234,lfe::felm,3,difficult,10000,r
1,0.0253192499985744,linearmodels.AbsorbingLS,2,difficult,10000,python
2,0.0232623749980121,linearmodels.AbsorbingLS,2,difficult,10000,python
3,0.0175768750013958,linearmodels.AbsorbingLS,2,difficult,10000,python
1,0.068683500001498,linearmodels.AbsorbingLS,3,difficult,10000,python
2,0.0596343750003143,linearmodels.AbsorbingLS,3,difficult,10000,python
3,0.0532773339982668,linearmodels.AbsorbingLS,3,difficult,10000,python
1,0.0235586250018969,pyfixest.feols (numba),2,difficult,10000,python
2,0.00639233300171327,pyfixest.feols (numba),2,difficult,10000,python
3,0.00508499999705236,pyfixest.feols (numba),2,difficult,10000,python
1,2.69891066699711,pyfixest.feols (numba),3,difficult,10000,python
