iter,time,est_name,n_fe,dgp_name,n_obs,language
1,0.0112528800964355,GLFixedEffectModels Poisson,2,difficult,1000,julia
2,0.0212709903717041,GLFixedEffectModels Poisson,2,difficult,1000,julia
3,0.0179719924926758,GLFixedEffectModels Poisson,2,difficult,1000,julia
1,0.0211429595947266,GLFixedEffectModels Poisson,3,difficult,1000,julia
2,0.0303800106048584,GLFixedEffectModels Poisson,3,difficult,1000,julia
3,0.0260970592498779,GLFixedEffectModels Poisson,3,difficult,1000,julia
1,,fixest::fepois,2,difficult,1000,r
2,,fixest::fepois,2,difficult,1000,r
3,,fixest::fepois,2,difficult,1000,r
1,,fixest::fepois,3,difficult,1000,r
2,,fixest::fepois,3,difficult,1000,r
3,,fixest::fepois,3,difficult,1000,r
1,0.00691366702085361,pyfixest.fepois (numba),2,difficult,1000,python
2,0.0068679170217365,pyfixest.fepois (numba),2,difficult,1000,python
3,0.00708083400968462,pyfixest.fepois (numba),2,difficult,1000,python
1,1.69791454199003,pyfixest.fepois (numba),3,difficult,1000,python
2,1.6948182079941,pyfixest.fepois (numba),3,difficult,1000,python
3,1.72046054201201,pyfixest.fepois (numba),3,difficult,1000,python
1,0.00898250000318512,pyfixest.fepois (rust),2,difficult,1000,python
2,0.0091678750468418,pyfixest.fepois (rust),2,difficult,1000,python
3,0.00916995800798759,pyfixest.fepois (rust),2,difficult,1000,python
1,1.55280262499582,pyfixest.fepois (rust),3,difficult,1000,python
2,1.56307229102822,pyfixest.fepois (rust),3,difficult,1000,python
3,1.60679820802761,pyfixest.fepois (rust),3,difficult,1000,python
1,0.0131278038024902,GLFixedEffectModels Poisson,2,simple,1000,julia
2,0.00769114494323731,GLFixedEffectModels Poisson,2,simple,1000,julia
3,0.00710010528564453,GLFixedEffectModels Poisson,2,simple,1000,julia
1,0.0143778324127197,GLFixedEffectModels Poisson,3,simple,1000,julia
2,0.0112791061401367,GLFixedEffectModels Poisson,3,simple,1000,julia
3,0.0106990337371826,GLFixedEffectModels Poisson,3,simple,1000,julia
1,,fixest::fepois,2,simple,1000,r
2,,fixest::fepois,2,simple,1000,r
3,,fixest::fepois,2,simple,1000,r
1,,fixest::fepois,3,simple,1000,r
2,,fixest::fepois,3,simple,1000,r
3,,fixest::fepois,3,simple,1000,r
1,0.00787512498209253,pyfixest.fepois (numba),2,simple,1000,python
2,0.00652837503002957,pyfixest.fepois (numba),2,simple,1000,python
3,0.00672066700644791,pyfixest.fepois (numba),2,simple,1000,python
1,0.00857508403714746,pyfixest.fepois (numba),3,simple,1000,python
2,0.00818620796781033,pyfixest.fepois (numba),3,simple,1000,python
3,0.00822187500307336,pyfixest.fepois (numba),3,simple,1000,python
1,0.00919629097916186,pyfixest.fepois (rust),2,simple,1000,python
2,0.00688100000843406,pyfixest.fepois (rust),2,simple,1000,python
3,0.00692887499462813,pyfixest.fepois (rust),2,simple,1000,python
1,0.00845537503482774,pyfixest.fepois (rust),3,simple,1000,python
2,0.00772004202008247,pyfixest.fepois (rust),3,simple,1000,python
3,0.00880008400417864,pyfixest.fepois (rust),3,simple,1000,python
1,0.0283670425415039,GLFixedEffectModels Poisson,2,difficult,10000,julia
2,0.0249278545379639,GLFixedEffectModels Poisson,2,difficult,10000,julia
3,0.0231781005859375,GLFixedEffectModels Poisson,2,difficult,10000,julia
1,0.0976719856262207,GLFixedEffectModels Poisson,3,difficult,10000,julia
2,0.155413866043091,GLFixedEffectModels Poisson,3,difficult,10000,julia
3,0.0899910926818848,GLFixedEffectModels Poisson,3,difficult,10000,julia
1,,fixest::fepois,2,difficult,10000,r
2,,fixest::fepois,2,difficult,10000,r
3,,fixest::fepois,2,difficult,10000,r
1,,fixest::fepois,3,difficult,10000,r
2,,fixest::fepois,3,difficult,10000,r
3,,fixest::fepois,3,difficult,10000,r
1,0.0192039159592241,pyfixest.fepois (numba),2,difficult,10000,python
2,0.0190353749785572,pyfixest.fepois (numba),2,difficult,10000,python
3,0.0195641670143232,pyfixest.fepois (numba),2,difficult,10000,python
1,1.77141500002472,pyfixest.fepois (numba),3,difficult,10000,python
2,1.82344845798798,pyfixest.fepois (numba),3,difficult,10000,python
3,1.78747362503782,pyfixest.fepois (numba),3,difficult,10000,python
1,0.0216197909903713,pyfixest.fepois (rust),2,difficult,10000,python
2,0.0212337080156431,pyfixest.fepois (rust),2,difficult,10000,python
3,0.0214461660361849,pyfixest.fepois (rust),2,difficult,10000,python
1,1.62284054199699,pyfixest.fepois (rust),3,difficult,10000,python
2,1.67397895798786,pyfixest.fepois (rust),3,difficult,10000,python
3,1.64291154197417,pyfixest.fepois (rust),3,difficult,10000,python
1,0.0239989757537842,GLFixedEffectModels Poisson,2,simple,10000,julia
2,0.0228590965270996,GLFixedEffectModels Poisson,2,simple,10000,julia
3,0.0263149738311768,GLFixedEffectModels Poisson,2,simple,10000,julia
1,0.039780855178833,GLFixedEffectModels Poisson,3,simple,10000,julia
2,0.0483639240264893,GLFixedEffectModels Poisson,3,simple,10000,julia
3,0.0452570915222168,GLFixedEffectModels Poisson,3,simple,10000,julia
1,,fixest::fepois,2,simple,10000,r
2,,fixest::fepois,2,simple,10000,r
3,,fixest::fepois,2,simple,10000,r
1,,fixest::fepois,3,simple,10000,r
2,,fixest::fepois,3,simple,10000,r
3,,fixest::fepois,3,simple,10000,r
1,0.0246987080317922,pyfixest.fepois (numba),2,simple,10000,python
2,0.0257304169936106,pyfixest.fepois (numba),2,simple,10000,python
3,0.0257782920380123,pyfixest.fepois (numba),2,simple,10000,python
1,0.10875858302461,pyfixest.fepois (numba),3,simple,10000,python
2,0.0365362919983454,pyfixest.fepois (numba),3,simple,10000,python
3,0.0391852920292877,pyfixest.fepois (numba),3,simple,10000,python
1,0.0172252500196919,pyfixest.fepois (rust),2,simple,10000,python
