iter,time,est_name,n_fe,dgp_name,n_obs
1,,pyfixest.feglm_logit (rust),2,difficult,100000
1,,pyfixest.feglm_logit (numba),2,difficult,100000
1,,pyfixest.feglm_logit (rust),3,difficult,100000
1,,pyfixest.feglm_logit (numba),3,difficult,100000
2,,pyfixest.feglm_logit (rust),2,difficult,100000
2,,pyfixest.feglm_logit (numba),2,difficult,100000
2,,pyfixest.feglm_logit (rust),3,difficult,100000
2,,pyfixest.feglm_logit (numba),3,difficult,100000
3,,pyfixest.feglm_logit (rust),2,difficult,100000
3,,pyfixest.feglm_logit (numba),2,difficult,100000
3,,pyfixest.feglm_logit (rust),3,difficult,100000
3,,pyfixest.feglm_logit (numba),3,difficult,100000
1,,pyfixest.feglm_logit (rust),2,difficult,10000
1,,pyfixest.feglm_logit (numba),2,difficult,10000
1,,pyfixest.feglm_logit (rust),3,difficult,10000
1,,pyfixest.feglm_logit (numba),3,difficult,10000
2,,pyfixest.feglm_logit (rust),2,difficult,10000
2,,pyfixest.feglm_logit (numba),2,difficult,10000
2,,pyfixest.feglm_logit (rust),3,difficult,10000
2,,pyfixest.feglm_logit (numba),3,difficult,10000
3,,pyfixest.feglm_logit (rust),2,difficult,10000
3,,pyfixest.feglm_logit (numba),2,difficult,10000
3,,pyfixest.feglm_logit (rust),3,difficult,10000
3,,pyfixest.feglm_logit (numba),3,difficult,10000
1,,pyfixest.feglm_logit (rust),2,difficult,1000
1,,pyfixest.feglm_logit (numba),2,difficult,1000
1,,pyfixest.feglm_logit (rust),3,difficult,1000
1,,pyfixest.feglm_logit (numba),3,difficult,1000
2,,pyfixest.feglm_logit (rust),2,difficult,1000
2,,pyfixest.feglm_logit (numba),2,difficult,1000
2,,pyfixest.feglm_logit (rust),3,difficult,1000
2,,pyfixest.feglm_logit (numba),3,difficult,1000
3,,pyfixest.feglm_logit (rust),2,difficult,1000
3,,pyfixest.feglm_logit (numba),2,difficult,1000
3,,pyfixest.feglm_logit (rust),3,difficult,1000
3,,pyfixest.feglm_logit (numba),3,difficult,1000
1,,pyfixest.feglm_logit (rust),2,difficult,1000000
1,,pyfixest.feglm_logit (numba),2,difficult,1000000
1,,pyfixest.feglm_logit (rust),3,difficult,1000000
1,,pyfixest.feglm_logit (numba),3,difficult,1000000
2,,pyfixest.feglm_logit (rust),2,difficult,1000000
2,,pyfixest.feglm_logit (numba),2,difficult,1000000
2,,pyfixest.feglm_logit (rust),3,difficult,1000000
2,,pyfixest.feglm_logit (numba),3,difficult,1000000
3,,pyfixest.feglm_logit (rust),2,difficult,1000000
3,,pyfixest.feglm_logit (numba),2,difficult,1000000
3,,pyfixest.feglm_logit (rust),3,difficult,1000000
3,,pyfixest.feglm_logit (numba),3,difficult,1000000
1,,pyfixest.feglm_logit (rust),2,difficult,2000000
1,,pyfixest.feglm_logit (numba),2,difficult,2000000
1,,pyfixest.feglm_logit (rust),3,difficult,2000000
1,,pyfixest.feglm_logit (numba),3,difficult,2000000
2,,pyfixest.feglm_logit (rust),2,difficult,2000000
2,,pyfixest.feglm_logit (numba),2,difficult,2000000
2,,pyfixest.feglm_logit (rust),3,difficult,2000000
2,,pyfixest.feglm_logit (numba),3,difficult,2000000
3,,pyfixest.feglm_logit (rust),2,difficult,2000000
3,,pyfixest.feglm_logit (numba),2,difficult,2000000
3,,pyfixest.feglm_logit (rust),3,difficult,2000000
3,,pyfixest.feglm_logit (numba),3,difficult,2000000
1,,pyfixest.feglm_logit (rust),2,difficult,500000
1,,pyfixest.feglm_logit (numba),2,difficult,500000
1,,pyfixest.feglm_logit (rust),3,difficult,500000
1,,pyfixest.feglm_logit (numba),3,difficult,500000
2,,pyfixest.feglm_logit (rust),2,difficult,500000
2,,pyfixest.feglm_logit (numba),2,difficult,500000
2,,pyfixest.feglm_logit (rust),3,difficult,500000
2,,pyfixest.feglm_logit (numba),3,difficult,500000
3,,pyfixest.feglm_logit (rust),2,difficult,500000
3,,pyfixest.feglm_logit (numba),2,difficult,500000
3,,pyfixest.feglm_logit (rust),3,difficult,500000
3,,pyfixest.feglm_logit (numba),3,difficult,500000
1,,pyfixest.feglm_logit (rust),2,simple,100000
1,,pyfixest.feglm_logit (numba),2,simple,100000
1,,pyfixest.feglm_logit (rust),3,simple,100000
1,,pyfixest.feglm_logit (numba),3,simple,100000
2,,pyfixest.feglm_logit (rust),2,simple,100000
2,,pyfixest.feglm_logit (numba),2,simple,100000
2,,pyfixest.feglm_logit (rust),3,simple,100000
2,,pyfixest.feglm_logit (numba),3,simple,100000
3,,pyfixest.feglm_logit (rust),2,simple,100000
3,,pyfixest.feglm_logit (numba),2,simple,100000
3,,pyfixest.feglm_logit (rust),3,simple,100000
3,,pyfixest.feglm_logit (numba),3,simple,100000
1,,pyfixest.feglm_logit (rust),2,simple,10000
1,,pyfixest.feglm_logit (numba),2,simple,10000
1,,pyfixest.feglm_logit (rust),3,simple,10000
1,,pyfixest.feglm_logit (numba),3,simple,10000
2,,pyfixest.feglm_logit (rust),2,simple,10000
2,,pyfixest.feglm_logit (numba),2,simple,10000
2,,pyfixest.feglm_logit (rust),3,simple,10000
2,,pyfixest.feglm_logit (numba),3,simple,10000
3,,pyfixest.feglm_logit (rust),2,simple,10000
3,,pyfixest.feglm_logit (numba),2,simple,10000
3,,pyfixest.feglm_logit (rust),3,simple,10000
3,,pyfixest.feglm_logit (numba),3,simple,10000
1,,pyfixest.feglm_logit (rust),2,simple,1000
1,,pyfixest.feglm_logit (numba),2,simple,1000
1,,pyfixest.feglm_logit (rust),3,simple,1000
1,,pyfixest.feglm_logit (numba),3,simple,1000
2,,pyfixest.feglm_logit (rust),2,simple,1000
2,,pyfixest.feglm_logit (numba),2,simple,1000
2,,pyfixest.feglm_logit (rust),3,simple,1000
2,,pyfixest.feglm_logit (numba),3,simple,1000
3,,pyfixest.feglm_logit (rust),2,simple,1000
3,,pyfixest.feglm_logit (numba),2,simple,1000
3,,pyfixest.feglm_logit (rust),3,simple,1000
3,,pyfixest.feglm_logit (numba),3,simple,1000
1,,pyfixest.feglm_logit (rust),2,simple,1000000
1,,pyfixest.feglm_logit (numba),2,simple,1000000
1,,pyfixest.feglm_logit (rust),3,simple,1000000
1,,pyfixest.feglm_logit (numba),3,simple,1000000
2,,pyfixest.feglm_logit (rust),2,simple,1000000
2,,pyfixest.feglm_logit (numba),2,simple,1000000
2,,pyfixest.feglm_logit (rust),3,simple,1000000
2,,pyfixest.feglm_logit (numba),3,simple,1000000
3,,pyfixest.feglm_logit (rust),2,simple,1000000
3,,pyfixest.feglm_logit (numba),2,simple,1000000
3,,pyfixest.feglm_logit (rust),3,simple,1000000
3,,pyfixest.feglm_logit (numba),3,simple,1000000
1,,pyfixest.feglm_logit (rust),2,simple,2000000
1,,pyfixest.feglm_logit (numba),2,simple,2000000
1,,pyfixest.feglm_logit (rust),3,simple,2000000
1,,pyfixest.feglm_logit (numba),3,simple,2000000
2,,pyfixest.feglm_logit (rust),2,simple,2000000
2,,pyfixest.feglm_logit (numba),2,simple,2000000
2,,pyfixest.feglm_logit (rust),3,simple,2000000
2,,pyfixest.feglm_logit (numba),3,simple,2000000
3,,pyfixest.feglm_logit (rust),2,simple,2000000
3,,pyfixest.feglm_logit (numba),2,simple,2000000
3,,pyfixest.feglm_logit (rust),3,simple,2000000
3,,pyfixest.feglm_logit (numba),3,simple,2000000
1,,pyfixest.feglm_logit (rust),2,simple,500000
1,,pyfixest.feglm_logit (numba),2,simple,500000
1,,pyfixest.feglm_logit (rust),3,simple,500000
1,,pyfixest.feglm_logit (numba),3,simple,500000
2,,pyfixest.feglm_logit (rust),2,simple,500000
2,,pyfixest.feglm_logit (numba),2,simple,500000
2,,pyfixest.feglm_logit (rust),3,simple,500000
2,,pyfixest.feglm_logit (numba),3,simple,500000
3,,pyfixest.feglm_logit (rust),2,simple,500000
3,,pyfixest.feglm_logit (numba),2,simple,500000
3,,pyfixest.feglm_logit (rust),3,simple,500000
3,,pyfixest.feglm_logit (numba),3,simple,500000
