iter,time,est_name,n_fe,dgp_name,n_obs
1,1.8256326670000078,pyfixest.fepois (scipy),2,difficult,100000
1,0.19049895800000627,pyfixest.fepois (numba),2,difficult,100000
1,0.19201491700002293,pyfixest.fepois (rust),2,difficult,100000
1,13.531390791999996,pyfixest.fepois (scipy),3,difficult,100000
1,37.592562958,pyfixest.fepois (numba),3,difficult,100000
1,36.43555537500001,pyfixest.fepois (rust),3,difficult,100000
2,1.8573400420000041,pyfixest.fepois (scipy),2,difficult,100000
2,0.18700983399997995,pyfixest.fepois (numba),2,difficult,100000
2,0.17656075000002147,pyfixest.fepois (rust),2,difficult,100000
2,9.454797291999995,pyfixest.fepois (scipy),3,difficult,100000
2,,pyfixest.fepois (numba),3,difficult,100000
2,,pyfixest.fepois (rust),3,difficult,100000
3,1.8229026249999833,pyfixest.fepois (scipy),2,difficult,100000
3,0.18912312499998052,pyfixest.fepois (numba),2,difficult,100000
3,0.1795253749999688,pyfixest.fepois (rust),2,difficult,100000
3,21.058388084,pyfixest.fepois (scipy),3,difficult,100000
3,,pyfixest.fepois (numba),3,difficult,100000
3,,pyfixest.fepois (rust),3,difficult,100000
1,0.24516545899996345,pyfixest.fepois (scipy),2,difficult,10000
1,0.06250937499999054,pyfixest.fepois (numba),2,difficult,10000
1,0.05931183299998111,pyfixest.fepois (rust),2,difficult,10000
1,0.3417158340000128,pyfixest.fepois (scipy),3,difficult,10000
1,0.11611516699997537,pyfixest.fepois (numba),3,difficult,10000
1,0.11205849999998918,pyfixest.fepois (rust),3,difficult,10000
2,0.26460804199996346,pyfixest.fepois (scipy),2,difficult,10000
2,0.06341866599996138,pyfixest.fepois (numba),2,difficult,10000
2,0.05974362500001007,pyfixest.fepois (rust),2,difficult,10000
2,0.5869097909999823,pyfixest.fepois (scipy),3,difficult,10000
2,0.1743066669999962,pyfixest.fepois (numba),3,difficult,10000
2,0.16144004199998108,pyfixest.fepois (rust),3,difficult,10000
3,0.23859420900004125,pyfixest.fepois (scipy),2,difficult,10000
3,0.06252604200000178,pyfixest.fepois (numba),2,difficult,10000
3,0.06171329199997899,pyfixest.fepois (rust),2,difficult,10000
3,0.33037654099996416,pyfixest.fepois (scipy),3,difficult,10000
3,0.13095533299997442,pyfixest.fepois (numba),3,difficult,10000
3,0.12370599999997012,pyfixest.fepois (rust),3,difficult,10000
1,0.08076370899999574,pyfixest.fepois (scipy),2,difficult,1000
1,0.04666391599999997,pyfixest.fepois (numba),2,difficult,1000
1,0.045876665999969646,pyfixest.fepois (rust),2,difficult,1000
1,0.08742720800000825,pyfixest.fepois (scipy),3,difficult,1000
1,0.050404666000019915,pyfixest.fepois (numba),3,difficult,1000
1,0.04764162500003977,pyfixest.fepois (rust),3,difficult,1000
2,0.0734419590000357,pyfixest.fepois (scipy),2,difficult,1000
2,0.04830233299998099,pyfixest.fepois (numba),2,difficult,1000
2,0.04548291600002585,pyfixest.fepois (rust),2,difficult,1000
2,0.07818237499998304,pyfixest.fepois (scipy),3,difficult,1000
2,0.04837633299996469,pyfixest.fepois (numba),3,difficult,1000
2,0.046637958999951934,pyfixest.fepois (rust),3,difficult,1000
3,0.08451929199998176,pyfixest.fepois (scipy),2,difficult,1000
3,0.04809495799997876,pyfixest.fepois (numba),2,difficult,1000
3,0.045468749999997726,pyfixest.fepois (rust),2,difficult,1000
3,0.09612691699999232,pyfixest.fepois (scipy),3,difficult,1000
3,0.05428395799998498,pyfixest.fepois (numba),3,difficult,1000
3,0.05109366700003193,pyfixest.fepois (rust),3,difficult,1000
1,18.701437750000082,pyfixest.fepois (scipy),2,difficult,1000000
1,1.5572796669999889,pyfixest.fepois (numba),2,difficult,1000000
1,1.5295450830000163,pyfixest.fepois (rust),2,difficult,1000000
1,343.1324688750001,pyfixest.fepois (scipy),3,difficult,1000000
1,,pyfixest.fepois (numba),3,difficult,1000000
1,,pyfixest.fepois (rust),3,difficult,1000000
2,18.212062500000002,pyfixest.fepois (scipy),2,difficult,1000000
2,1.5179591250000612,pyfixest.fepois (numba),2,difficult,1000000
2,1.548971500000107,pyfixest.fepois (rust),2,difficult,1000000
2,225.56479450000006,pyfixest.fepois (scipy),3,difficult,1000000
2,,pyfixest.fepois (numba),3,difficult,1000000
2,,pyfixest.fepois (rust),3,difficult,1000000
3,34.53530895800009,pyfixest.fepois (scipy),2,difficult,1000000
3,1.4671490840000843,pyfixest.fepois (numba),2,difficult,1000000
3,1.4469306249998226,pyfixest.fepois (rust),2,difficult,1000000
3,260.64654833300006,pyfixest.fepois (scipy),3,difficult,1000000
3,,pyfixest.fepois (numba),3,difficult,1000000
3,,pyfixest.fepois (rust),3,difficult,1000000
