"iter","time","est_name","n_fe","dgp_name","n_obs"
1,0.00901889801025391,"fixest::feols",2,"difficult",100000
1,0.150374174118042,"lfe::felm",2,"difficult",100000
1,0.204041004180908,"fixest::feols",3,"difficult",100000
1,3.47869110107422,"lfe::felm",3,"difficult",100000
2,0.00903606414794922,"fixest::feols",2,"difficult",100000
2,0.0921790599822998,"lfe::felm",2,"difficult",100000
2,0.225765943527222,"fixest::feols",3,"difficult",100000
2,3.30862808227539,"lfe::felm",3,"difficult",100000
3,0.010329008102417,"fixest::feols",2,"difficult",100000
3,0.0925569534301758,"lfe::felm",2,"difficult",100000
3,0.209084033966064,"fixest::feols",3,"difficult",100000
3,3.22759199142456,"lfe::felm",3,"difficult",100000
1,0.00473713874816895,"fixest::feols",2,"difficult",10000
1,0.0674850940704346,"lfe::felm",2,"difficult",10000
1,0.010746955871582,"fixest::feols",3,"difficult",10000
1,0.0662920475006104,"lfe::felm",3,"difficult",10000
2,0.00560784339904785,"fixest::feols",2,"difficult",10000
2,0.138229131698608,"lfe::felm",2,"difficult",10000
2,0.0068519115447998,"fixest::feols",3,"difficult",10000
2,0.0566949844360352,"lfe::felm",3,"difficult",10000
3,0.00460505485534668,"fixest::feols",2,"difficult",10000
3,0.0657758712768555,"lfe::felm",2,"difficult",10000
3,0.00994706153869629,"fixest::feols",3,"difficult",10000
3,0.066802978515625,"lfe::felm",3,"difficult",10000
1,0.00777482986450195,"fixest::feols",2,"difficult",1000
1,0.065284013748169,"lfe::felm",2,"difficult",1000
1,0.00862908363342285,"fixest::feols",3,"difficult",1000
1,0.0673239231109619,"lfe::felm",3,"difficult",1000
2,0.00635790824890137,"fixest::feols",2,"difficult",1000
2,0.0645520687103271,"lfe::felm",2,"difficult",1000
2,0.00813412666320801,"fixest::feols",3,"difficult",1000
2,0.0653238296508789,"lfe::felm",3,"difficult",1000
3,0.00826501846313477,"fixest::feols",2,"difficult",1000
3,0.065345048904419,"lfe::felm",2,"difficult",1000
3,0.00862884521484375,"fixest::feols",3,"difficult",1000
3,0.0676891803741455,"lfe::felm",3,"difficult",1000
1,0.0699639320373535,"fixest::feols",2,"difficult",1000000
1,0.368351936340332,"lfe::felm",2,"difficult",1000000
1,6.82530903816223,"fixest::feols",3,"difficult",1000000
1,NA,"lfe::felm",3,"difficult",1000000
2,0.0717639923095703,"fixest::feols",2,"difficult",1000000
2,0.376194000244141,"lfe::felm",2,"difficult",1000000
2,5.90139508247375,"fixest::feols",3,"difficult",1000000
2,NA,"lfe::felm",3,"difficult",1000000
3,0.0691618919372559,"fixest::feols",2,"difficult",1000000
3,0.43303918838501,"lfe::felm",2,"difficult",1000000
3,5.96989417076111,"fixest::feols",3,"difficult",1000000
3,NA,"lfe::felm",3,"difficult",1000000
1,0.140101909637451,"fixest::feols",2,"difficult",2000000
1,0.624665975570679,"lfe::felm",2,"difficult",2000000
1,10.1264140605927,"fixest::feols",3,"difficult",2000000
1,NA,"lfe::felm",3,"difficult",2000000
2,0.206221103668213,"fixest::feols",2,"difficult",2000000
2,0.628947973251343,"lfe::felm",2,"difficult",2000000
2,10.982950925827,"fixest::feols",3,"difficult",2000000
2,NA,"lfe::felm",3,"difficult",2000000
3,0.20688796043396,"fixest::feols",2,"difficult",2000000
3,0.688187837600708,"lfe::felm",2,"difficult",2000000
3,12.9014730453491,"fixest::feols",3,"difficult",2000000
3,NA,"lfe::felm",3,"difficult",2000000
1,0.037524938583374,"fixest::feols",2,"difficult",500000
1,0.182753801345825,"lfe::felm",2,"difficult",500000
1,2.49304389953613,"fixest::feols",3,"difficult",500000
1,NA,"lfe::felm",3,"difficult",500000
2,0.0397329330444336,"fixest::feols",2,"difficult",500000
2,0.188195943832397,"lfe::felm",2,"difficult",500000
2,3.76224112510681,"fixest::feols",3,"difficult",500000
2,NA,"lfe::felm",3,"difficult",500000
3,0.106818914413452,"fixest::feols",2,"difficult",500000
3,0.184039115905762,"lfe::felm",2,"difficult",500000
3,4.17525601387024,"fixest::feols",3,"difficult",500000
3,NA,"lfe::felm",3,"difficult",500000
1,0.00975608825683594,"fixest::feols",2,"simple",100000
1,0.0923171043395996,"lfe::felm",2,"simple",100000
1,0.0167169570922852,"fixest::feols",3,"simple",100000
1,0.0962951183319092,"lfe::felm",3,"simple",100000
2,0.00981998443603516,"fixest::feols",2,"simple",100000
2,0.0965940952301025,"lfe::felm",2,"simple",100000
2,0.0165901184082031,"fixest::feols",3,"simple",100000
2,0.0950500965118408,"lfe::felm",3,"simple",100000
3,0.0100150108337402,"fixest::feols",2,"simple",100000
3,0.0928239822387695,"lfe::felm",2,"simple",100000
3,0.0167288780212402,"fixest::feols",3,"simple",100000
3,0.095634937286377,"lfe::felm",3,"simple",100000
1,0.00396108627319336,"fixest::feols",2,"simple",10000
1,0.0674960613250732,"lfe::felm",2,"simple",10000
1,0.00588011741638184,"fixest::feols",3,"simple",10000
1,0.0661101341247559,"lfe::felm",3,"simple",10000
2,0.00586080551147461,"fixest::feols",2,"simple",10000
2,0.0669710636138916,"lfe::felm",2,"simple",10000
2,0.00794696807861328,"fixest::feols",3,"simple",10000
2,0.0653500556945801,"lfe::felm",3,"simple",10000
3,0.0168769359588623,"fixest::feols",2,"simple",10000
3,0.0665030479431152,"lfe::felm",2,"simple",10000
3,0.0081331729888916,"fixest::feols",3,"simple",10000
3,0.0682010650634766,"lfe::felm",3,"simple",10000
1,0.0074770450592041,"fixest::feols",2,"simple",1000
1,0.0647768974304199,"lfe::felm",2,"simple",1000
1,0.00815010070800781,"fixest::feols",3,"simple",1000
1,0.0665531158447266,"lfe::felm",3,"simple",1000
2,0.00579500198364258,"fixest::feols",2,"simple",1000
2,0.0641310214996338,"lfe::felm",2,"simple",1000
2,0.00787115097045898,"fixest::feols",3,"simple",1000
2,0.0648858547210693,"lfe::felm",3,"simple",1000
3,0.00823712348937988,"fixest::feols",2,"simple",1000
3,0.0625860691070557,"lfe::felm",2,"simple",1000
3,0.00823497772216797,"fixest::feols",3,"simple",1000
3,0.0665621757507324,"lfe::felm",3,"simple",1000
1,0.136201858520508,"fixest::feols",2,"simple",1000000
1,0.433503150939941,"lfe::felm",2,"simple",1000000
1,0.193521022796631,"fixest::feols",3,"simple",1000000
1,0.572124004364014,"lfe::felm",3,"simple",1000000
2,0.0702719688415527,"fixest::feols",2,"simple",1000000
2,0.377316951751709,"lfe::felm",2,"simple",1000000
2,0.132147073745728,"fixest::feols",3,"simple",1000000
2,0.582725048065186,"lfe::felm",3,"simple",1000000
3,0.139853000640869,"fixest::feols",2,"simple",1000000
3,0.375967979431152,"lfe::felm",2,"simple",1000000
3,0.191625118255615,"fixest::feols",3,"simple",1000000
3,0.446630001068115,"lfe::felm",3,"simple",1000000
1,0.205020189285278,"fixest::feols",2,"simple",2000000
1,0.687042951583862,"lfe::felm",2,"simple",2000000
1,0.308968067169189,"fixest::feols",3,"simple",2000000
1,1.00395202636719,"lfe::felm",3,"simple",2000000
2,0.208155870437622,"fixest::feols",2,"simple",2000000
2,0.629656076431274,"lfe::felm",2,"simple",2000000
2,0.318140983581543,"fixest::feols",3,"simple",2000000
2,0.927379131317139,"lfe::felm",3,"simple",2000000
3,0.209785938262939,"fixest::feols",2,"simple",2000000
3,0.61712384223938,"lfe::felm",2,"simple",2000000
3,0.318143844604492,"fixest::feols",3,"simple",2000000
3,0.866173982620239,"lfe::felm",3,"simple",2000000
1,0.0369129180908203,"fixest::feols",2,"simple",500000
1,0.186228036880493,"lfe::felm",2,"simple",500000
1,0.062701940536499,"fixest::feols",3,"simple",500000
1,0.211866855621338,"lfe::felm",3,"simple",500000
2,0.0382249355316162,"fixest::feols",2,"simple",500000
2,0.192148923873901,"lfe::felm",2,"simple",500000
2,0.0625579357147217,"fixest::feols",3,"simple",500000
2,0.210799932479858,"lfe::felm",3,"simple",500000
3,0.0385570526123047,"fixest::feols",2,"simple",500000
3,0.190786123275757,"lfe::felm",2,"simple",500000
3,0.064007043838501,"fixest::feols",3,"simple",500000
3,0.214040994644165,"lfe::felm",3,"simple",500000
